t,orientation_mode,track_body,orientation_body,jaw_mode,rpy_mode,rpy_input_method,master_yaw_axis,master_pitch_axis,master_roll_axis,sigma_x,sigma_y,sigma_z,target_x,target_y,target_z,tip_x,tip_y,tip_z,err_m,ori_err_norm,ins_q,ins_ctrl,ins_lag,jaw_deg,jaw_target,jaw_ctrl,freq_khz,rpy_in_yaw_deg,rpy_in_pitch_deg,rpy_in_roll_deg,rpy_tgt_yaw,rpy_tgt_pitch,rpy_tgt_roll,rpy_q_yaw,rpy_q_pitch,rpy_q_roll,rpy_bias_yaw,rpy_bias_pitch,ctrl_yaw,ctrl_pitch,ctrl_insertion,ctrl_roll,ctrl_wrist_pitch,ctrl_wrist_yaw
106621.278670,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,0.027939,-0.026385,-0.075309,-0.246968,-0.002900,0.382760,-0.250027,-0.000014,0.389509,0.007953,0.008074,0.126091,0.120005,0.006091,-0.006218,0.000000,0.000000,3.733119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000230,-0.000119,0.000000,0.000000,0.000000,-0.000099,-0.000093,0.120005,0.000020,0.000005,0.000000
106621.358707,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,0.029848,-0.024527,-0.085466,-0.233678,-0.013454,0.351220,-0.244804,-0.002936,0.390615,0.042266,0.035298,0.125147,0.121023,0.004131,-0.004582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.047483,-0.026801,0.060027,0.000000,0.000000,-0.052090,-0.051116,0.121023,0.065380,0.009430,0.040886
106621.438730,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,0.029135,-0.022524,-0.083911,-0.234066,-0.012334,0.351824,-0.240073,-0.007973,0.389103,0.038011,0.018807,0.127226,0.122929,0.004310,-0.004582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.089288,-0.071484,0.113784,0.000000,0.000000,-0.092361,-0.087533,0.122929,0.117395,-0.004481,0.147854
106621.518956,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,0.029470,-0.022695,-0.076774,-0.233893,-0.012408,0.355064,-0.237214,-0.010205,0.383836,0.029047,0.002660,0.132910,0.128643,0.004298,-0.004582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.109637,-0.087098,0.150439,0.000000,0.000000,-0.110560,-0.084863,0.128643,0.151334,0.003852,0.187747
106621.599217,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,0.030048,-0.023921,-0.067764,-0.233575,-0.013069,0.359061,-0.235736,-0.011133,0.377099,0.018270,0.001086,0.139826,0.135559,0.004296,-0.004582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.115555,-0.089729,0.158037,0.000000,0.000000,-0.116408,-0.097525,0.135559,0.158158,0.007966,0.158888
106621.679237,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,0.030220,-0.024674,-0.059606,-0.233476,-0.013500,0.362762,-0.234399,-0.012635,0.370293,0.007636,0.000725,0.146852,0.142584,0.004296,-0.004582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.119713,-0.096408,0.158572,0.000000,0.000000,-0.120274,-0.097902,0.142584,0.158648,0.018789,0.148348
106621.759507,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,0.030098,-0.024696,-0.051430,-0.233541,-0.013516,0.366452,-0.233383,-0.013430,0.366278,0.000250,0.001270,0.151018,0.146673,0.004344,-0.004582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.123642,-0.099334,0.147660,0.000000,0.000000,-0.124255,-0.101676,0.146673,0.146849,0.024442,0.144000
106621.839835,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,0.029595,-0.024449,-0.042867,-0.233816,-0.013380,0.370318,-0.232597,-0.013572,0.368404,0.002277,0.002817,0.149034,0.144619,0.004407,-0.004582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.131495,-0.101882,0.130448,0.000000,0.000000,-0.127378,-0.106492,0.144619,0.129349,0.029754,0.146277
106621.919869,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,0.028564,-0.024604,-0.033524,-0.234376,-0.013459,0.374505,-0.233323,-0.013814,0.371871,0.002858,0.002676,0.145546,0.141087,0.004445,-0.004582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.129442,-0.106498,0.117988,0.000000,0.000000,-0.131790,-0.110912,0.141087,0.118361,0.049016,0.156296
106621.999892,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,0.026904,-0.024959,-0.024046,-0.235275,-0.013650,0.378732,-0.235289,-0.014039,0.375730,0.003027,0.002824,0.141523,0.137157,0.004347,-0.004582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.117845,-0.111717,0.122727,0.000000,0.000000,-0.126823,-0.113723,0.137157,0.123021,0.092647,0.171795
106622.080147,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,0.024848,-0.026187,-0.015772,-0.236418,-0.014322,0.382517,-0.236496,-0.014541,0.379641,0.002885,0.004849,0.137584,0.133073,0.004494,-0.004582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.111743,-0.119485,0.138216,0.000000,0.000000,-0.108487,-0.123188,0.133073,0.142863,0.119178,0.215838
106622.160374,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,0.023219,-0.029204,-0.011514,-0.237322,-0.015980,0.384463,-0.236910,-0.016020,0.382414,0.002091,0.016293,0.134992,0.130608,0.004379,-0.004582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.110875,-0.134583,0.234361,0.000000,0.000000,-0.111618,-0.142844,0.130608,0.242959,0.092128,0.292090
