t,orientation_mode,track_body,orientation_body,jaw_mode,rpy_mode,rpy_input_method,master_yaw_axis,master_pitch_axis,master_roll_axis,sigma_x,sigma_y,sigma_z,target_x,target_y,target_z,tip_x,tip_y,tip_z,err_m,ori_err_norm,ins_q,ins_ctrl,ins_lag,jaw_deg,jaw_target,jaw_ctrl,freq_khz,rpy_in_yaw_deg,rpy_in_pitch_deg,rpy_in_roll_deg,rpy_tgt_yaw,rpy_tgt_pitch,rpy_tgt_roll,rpy_q_yaw,rpy_q_pitch,rpy_q_roll,rpy_bias_yaw,rpy_bias_pitch,ctrl_yaw,ctrl_pitch,ctrl_insertion,ctrl_roll,ctrl_wrist_pitch,ctrl_wrist_yaw
26143.070052,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,-0.023326,-0.015028,-0.040665,-0.252517,-0.001613,0.385862,-0.250027,-0.000014,0.389509,0.004697,0.020098,0.126091,0.120004,0.006091,0.519385,0.509873,0.030000,1.982746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000230,-0.000119,0.000000,0.000000,0.000000,0.000103,-0.000066,0.120004,0.000024,-0.000010,0.000042
26143.150411,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,-0.026577,-0.013600,-0.052488,-0.264159,-0.007272,0.366189,-0.251641,-0.000360,0.391508,0.029078,0.103087,0.124105,0.120216,0.003892,0.519385,0.509873,0.507904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015109,-0.003308,0.018817,0.000000,0.000000,0.018176,-0.010874,0.120216,0.023728,-0.010459,0.041456
26143.231682,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,-0.029725,-0.012409,-0.057765,-0.265913,-0.006601,0.363649,-0.253396,-0.001122,0.391041,0.030611,0.107983,0.124617,0.120438,0.004182,0.519385,0.509873,0.507904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031143,-0.010288,0.044190,0.000000,0.000000,0.033779,-0.018774,0.120438,0.048929,-0.026215,0.088157
26143.311999,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,-0.032556,-0.011461,-0.059318,-0.267478,-0.006060,0.362901,-0.255379,-0.002016,0.390608,0.030503,0.092709,0.125142,0.120728,0.004417,0.519385,0.509873,0.507904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049114,-0.018399,0.074531,0.000000,0.000000,0.051895,-0.025699,0.120728,0.079393,-0.050135,0.143388
26143.392003,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,-0.035265,-0.011337,-0.060177,-0.269008,-0.005973,0.362501,-0.257445,-0.002726,0.390459,0.030429,0.070426,0.125427,0.121073,0.004358,0.519385,0.509873,0.507904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067847,-0.024814,0.104393,0.000000,0.000000,0.071147,-0.031300,0.121073,0.109773,-0.073869,0.191691
26143.472194,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,-0.036142,-0.012961,-0.060267,-0.269519,-0.006837,0.362445,-0.259819,-0.003395,0.390190,0.029593,0.052228,0.125900,0.121541,0.004365,0.502366,0.493167,0.495102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089165,-0.030773,0.138670,0.000000,0.000000,0.092642,-0.037536,0.121541,0.145119,-0.095584,0.235972
26143.552921,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,-0.035401,-0.018064,-0.058653,-0.269155,-0.009480,0.363122,-0.262188,-0.004266,0.389820,0.028080,0.039906,0.126534,0.122194,0.004347,0.414002,0.406421,0.413113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110153,-0.038458,0.182414,0.000000,0.000000,0.112971,-0.049019,0.122194,0.190579,-0.109973,0.273738
26143.633257,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,-0.033668,-0.027948,-0.054610,-0.268214,-0.014788,0.364889,-0.263509,-0.005647,0.389439,0.026615,0.039657,0.127127,0.122789,0.004344,0.268692,0.263772,0.271637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121573,-0.050651,0.227248,0.000000,0.000000,0.122828,-0.070521,0.122789,0.235984,-0.110417,0.295401
26143.714122,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,-0.032508,-0.041248,-0.049214,-0.267536,-0.022197,0.367349,-0.264115,-0.008539,0.389112,0.025920,0.040698,0.127708,0.123377,0.004337,0.177055,0.173813,0.175471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.126592,-0.076234,0.278680,0.000000,0.000000,0.126986,-0.107831,0.123377,0.286591,-0.101647,0.311248
26143.794608,split,tool_wrist,tool_tip,follow,blend,local-angle,z,y,z,-0.032201,-0.056620,-0.043106,-0.267382,-0.030556,0.370063,-0.264355,-0.012567,0.389087,0.026357,0.043221,0.128142,0.123823,0.004323,0.157746,0.154858,0.156847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128694,-0.111887,0.323711,0.000000,0.000000,0.128868,-0.151839,0.123823,0.330783,-0.089271,0.323288
