time_s,sigma_x_m,sigma_y_m,sigma_z_m,pivot_x_m,pivot_y_m,pivot_z_m,grip_deg,freq_khz
0.318318,0.005377,-0.004178,0.002235,-0.250002,0.000000,0.515600,-0.002945,2.339694
0.568732,0.005612,-0.004150,0.002264,-0.253242,0.004900,0.510177,-0.002945,0.000000
0.818882,0.005476,-0.004633,0.002591,-0.255292,0.007415,0.508610,-0.003273,0.000000
1.069140,0.004717,-0.006990,0.003354,-0.258764,0.006449,0.507381,-0.003273,0.000000
1.319642,0.005869,-0.009176,-0.002213,-0.257387,0.005209,0.508725,-0.003273,0.000000
1.569682,0.008766,-0.011760,-0.013110,-0.255427,0.004405,0.509795,-0.003273,0.000000
1.820101,0.012102,-0.015259,-0.028929,-0.254126,0.003426,0.510401,-0.002945,0.000000
2.070429,0.013687,-0.016864,-0.039990,-0.253587,0.003000,0.510601,-0.002945,0.000000
2.320630,0.024688,-0.030025,-0.047321,-0.254607,0.003721,0.510159,-0.002945,0.000000
2.571482,0.048452,-0.048211,-0.028231,-0.257294,0.008138,0.507271,-0.002945,0.000000
2.821608,0.044436,-0.069706,-0.017276,-0.260203,0.008648,0.504592,-0.002945,0.000000
3.071862,-0.000020,-0.097699,-0.018170,-0.263819,0.001938,0.503724,-0.002945,0.000000
3.322043,-0.009645,-0.095978,-0.026927,-0.263300,-0.001033,0.504724,-0.002945,0.000000
3.572072,0.032587,-0.070023,-0.021959,-0.262379,0.004047,0.505135,-0.003273,0.000000
3.822254,0.060834,-0.038556,-0.023162,-0.258435,0.009805,0.505267,-0.003273,0.000000
4.072499,0.039049,-0.048216,-0.035762,-0.257794,0.007592,0.507385,-0.003273,0.000000
4.322709,0.069428,-0.014571,-0.025052,-0.255948,0.009227,0.507271,-0.002945,0.000000
4.572848,0.096270,0.032785,-0.008966,-0.253752,0.009044,0.508225,-0.002945,0.000000
4.822911,0.072498,-0.005050,-0.026348,-0.251565,0.008878,0.508735,-0.002945,0.000000
5.073142,0.027437,-0.036747,-0.048362,-0.254038,0.007680,0.508944,-0.002945,0.000000
5.323151,0.004982,-0.046948,-0.056090,-0.257013,0.001119,0.509740,-0.002945,0.000000
5.573353,0.009482,-0.048483,-0.018053,-0.259797,0.002065,0.508000,-0.002945,0.000000
5.823396,0.013826,-0.038845,0.029040,-0.264659,0.004931,0.500350,-0.002945,0.000000
6.073581,0.014436,-0.039218,0.006095,-0.264570,0.005574,0.500010,-0.002945,0.000000
6.323639,0.025335,-0.043129,-0.058997,-0.259613,0.005499,0.507227,-0.002945,0.000000
6.574103,0.024468,-0.042354,-0.071337,-0.255231,0.003220,0.510131,-0.002945,0.000000
6.824136,0.024159,-0.040530,-0.081273,-0.254766,0.003134,0.510290,-0.002945,0.000000
7.074220,0.022796,-0.031894,-0.091125,-0.253439,0.002621,0.510690,-0.002945,0.000000
7.324233,0.023135,-0.032791,-0.089464,-0.253410,0.002649,0.510665,-0.002945,0.000000
7.574385,0.023549,-0.047177,-0.052474,-0.256314,0.003732,0.509583,-0.002945,0.000000
7.824674,0.024223,-0.046342,-0.053155,-0.257021,0.004088,0.509249,-0.002945,0.000000
8.074899,0.025721,-0.047385,-0.060487,-0.256287,0.003569,0.509682,-0.002945,0.000000
8.325423,0.028180,-0.048881,-0.057202,-0.256647,0.004116,0.509367,-0.002945,0.000000
8.575682,0.028989,-0.045967,-0.058068,-0.256212,0.004263,0.509544,-0.002945,0.000000
8.825885,0.029274,-0.044919,-0.058526,-0.256035,0.004381,0.509565,-0.002945,0.000000
9.076187,0.029091,-0.045059,-0.057931,-0.256075,0.004381,0.509533,-0.002945,0.000000
9.326459,0.029230,-0.044410,-0.058296,-0.255928,0.004408,0.509590,-0.002945,0.000000
9.576649,0.028319,-0.044925,-0.049863,-0.256910,0.004644,0.509082,-0.002945,0.000000
9.826915,0.024919,-0.046399,-0.051829,-0.257256,0.004087,0.509123,-0.002945,0.000000
10.076935,0.022481,-0.047855,-0.056018,-0.257218,0.003363,0.509331,-0.002945,0.000000
10.327236,0.019146,-0.048255,-0.059010,-0.256893,0.003257,0.509502,-0.002945,0.000000
10.577365,0.016170,-0.045141,-0.064120,-0.256189,0.002454,0.509934,-0.002945,0.000000
10.827589,0.017393,-0.044501,-0.064040,-0.255879,0.002588,0.510005,-0.002945,0.000000
11.078005,0.028224,-0.049451,-0.047377,-0.256985,0.004118,0.509198,-0.002945,0.000000
11.328516,0.026804,-0.048690,-0.044590,-0.257643,0.004431,0.508848,-0.002945,0.000000
11.578702,0.030224,-0.036082,-0.052272,-0.255598,0.004628,0.509673,-0.003273,0.000000
11.828781,0.030632,-0.030208,-0.056444,-0.254094,0.004609,0.510123,-0.003273,0.000000
12.078848,0.028617,-0.031742,-0.056717,-0.254240,0.004531,0.510079,-0.003273,0.000000
12.329016,0.022660,-0.035928,-0.052213,-0.255065,0.003908,0.509988,-0.003273,0.000000
12.579310,0.002510,-0.055135,-0.045634,-0.258030,0.001478,0.509169,-0.003273,0.000000
12.829329,-0.029719,-0.070594,-0.037316,-0.260324,-0.003237,0.507366,-0.003273,0.000000
13.079590,-0.054925,-0.073963,-0.027434,-0.260583,-0.006906,0.505544,-0.003273,0.000000
13.329818,-0.062493,-0.074785,-0.025962,-0.260369,-0.008089,0.504918,-0.003273,0.000000
13.580070,-0.034711,-0.065233,-0.024829,-0.261056,-0.005986,0.505701,-0.003273,0.000000
13.830341,0.008082,-0.039089,-0.023907,-0.260409,0.000096,0.507773,-0.003273,0.000000
14.080416,0.042414,-0.006115,-0.021471,-0.256104,0.007109,0.508456,-0.003273,0.000000
14.330509,0.064106,0.027003,-0.015849,-0.252115,0.008908,0.508650,-0.003273,0.000000
14.580737,0.072683,0.056527,-0.014843,-0.247711,0.008883,0.508579,-0.003273,0.000000
14.830977,0.073155,0.076803,-0.017431,-0.242374,0.009590,0.505984,-0.003273,0.000000
15.080995,0.071409,0.079496,-0.019709,-0.239059,0.008802,0.503582,-0.003273,0.000000
15.331192,0.065113,0.052910,-0.032219,-0.241001,0.009240,0.505312,-0.003273,0.000000
15.581674,0.057918,0.017176,-0.050808,-0.245273,0.008874,0.508040,-0.002945,0.000000
15.832240,0.042430,0.003704,-0.063184,-0.248721,0.006520,0.509943,-0.002945,0.000000
16.082754,0.019160,-0.001953,-0.077291,-0.249926,0.002902,0.510982,-0.002945,0.000000
16.333028,0.005118,-0.005415,-0.081567,-0.250495,0.000691,0.511183,-0.002945,0.000000
16.583279,0.004491,-0.008096,-0.080627,-0.250880,0.000560,0.511154,-0.002945,0.000000
16.833405,0.004691,-0.014732,-0.064707,-0.251883,0.000732,0.511049,-0.002945,0.000000
17.083591,0.001740,-0.012489,-0.030717,-0.253125,0.000742,0.510877,-0.002945,0.000000
17.333777,-0.002730,-0.007830,-0.011094,-0.253951,-0.000870,0.510706,-0.002945,0.000000
17.583969,-0.009119,-0.001777,0.005561,-0.254151,-0.006701,0.509317,-0.002945,0.000000
17.834019,-0.020586,0.006358,0.021156,-0.253797,-0.008871,0.508015,-0.002945,0.000000
18.084522,-0.029739,0.015680,0.034564,-0.253329,-0.007881,0.507141,-0.002945,0.000000
18.334633,-0.038958,0.020852,0.045759,-0.252641,-0.006775,0.506237,-0.002945,0.000000
18.584841,-0.039286,0.020684,0.046056,-0.252028,-0.005583,0.505200,-0.002945,0.000000
18.834906,-0.039993,0.019696,0.044550,-0.251516,-0.004615,0.504357,-0.002945,0.000000
19.085136,-0.038640,0.014861,0.038561,-0.251300,-0.004528,0.504336,-0.002945,0.000000
19.335420,-0.021189,-0.003410,0.017636,-0.251874,-0.006196,0.505903,-0.002945,0.000000
19.585687,0.008568,-0.023727,-0.005076,-0.256941,-0.007439,0.507951,-0.002945,0.000000
19.836336,0.024982,-0.029323,-0.036274,-0.257900,0.000501,0.509363,-0.002945,0.000000
20.086615,0.025638,-0.030531,-0.053512,-0.254707,0.004623,0.509959,-0.002945,0.000000
20.336682,0.016515,-0.033517,-0.059567,-0.254761,0.003013,0.510313,-0.002945,0.000000
20.586694,-0.000511,-0.044411,-0.063062,-0.255910,0.000557,0.510155,-0.002945,0.000000
20.836938,-0.022973,-0.060553,-0.057756,-0.257957,-0.002243,0.509112,-0.002945,0.000000
21.087012,-0.043362,-0.067405,-0.054605,-0.258727,-0.004818,0.508036,-0.002945,0.000000
21.337196,-0.054424,-0.069096,-0.057230,-0.258420,-0.005921,0.507792,-0.002945,0.000000
21.587306,-0.056076,-0.069156,-0.058933,-0.258292,-0.006135,0.507820,-0.002945,0.000000
21.837959,-0.044280,-0.067271,-0.060564,-0.258302,-0.005205,0.508219,-0.002945,0.000000
22.088072,-0.023260,-0.060318,-0.058918,-0.258220,-0.002998,0.508897,-0.002945,0.000000
22.338073,-0.006029,-0.049966,-0.054634,-0.257599,-0.000817,0.509493,-0.002945,0.000000
22.588772,0.007508,-0.041531,-0.051302,-0.256942,0.001246,0.509767,-0.002945,0.000000
22.839163,0.017478,-0.030641,-0.052961,-0.255229,0.002923,0.510190,-0.002945,0.000000
23.089361,0.031175,-0.015376,-0.053144,-0.252818,0.004852,0.510288,-0.002945,0.000000
23.339476,0.049948,0.005771,-0.049219,-0.249644,0.007545,0.509481,-0.002945,0.000000
23.589704,0.060784,0.026332,-0.046528,-0.246373,0.008775,0.508368,-0.002945,0.000000
23.839974,0.066781,0.043361,-0.049928,-0.244217,0.008438,0.507842,-0.002945,0.000000
24.090156,0.069941,0.050179,-0.055741,-0.243709,0.008097,0.507863,-0.002945,0.000000
24.340263,0.072183,0.060228,-0.054970,-0.242876,0.007940,0.507495,-0.002945,0.000000
24.590516,0.072609,0.062822,-0.055341,-0.242469,0.007907,0.507312,-0.002945,0.000000
24.840825,0.066419,0.046704,-0.063793,-0.243736,0.007539,0.508220,-0.002945,0.000000
25.090918,0.053004,0.018390,-0.071427,-0.246730,0.006632,0.509615,-0.002945,0.000000
25.341053,0.039991,-0.001968,-0.072654,-0.249646,0.005169,0.510458,-0.002945,0.000000
25.591240,0.037698,-0.008186,-0.045796,-0.250799,0.006210,0.510035,-0.002945,0.000000
25.841415,0.029247,-0.010664,-0.001071,-0.252812,0.008915,0.508465,-0.002945,0.000000
26.091926,0.028720,-0.005815,-0.009166,-0.253620,0.009014,0.508251,-0.002945,0.000000
26.342344,0.034094,-0.010155,-0.065992,-0.251521,0.005907,0.510157,-0.002945,0.000000
26.592508,0.016894,-0.013266,-0.087906,-0.251233,0.002606,0.510985,-0.002945,0.000000
26.842673,-0.028646,-0.039855,-0.088757,-0.253732,-0.001712,0.510693,-0.002945,0.000000
27.093135,-0.063655,-0.051164,-0.083719,-0.255424,-0.005983,0.509217,-0.002945,0.000000
27.343314,-0.056975,-0.049474,-0.092055,-0.255011,-0.005540,0.509576,-0.002945,0.000000
27.593463,-0.019474,-0.041319,-0.087252,-0.254918,-0.002658,0.510331,-0.002945,0.000000
27.843702,0.023195,-0.013593,-0.080717,-0.252245,0.001706,0.510990,-0.002945,0.000000
28.093738,0.041615,-0.005037,-0.073489,-0.250422,0.005305,0.510361,-0.002945,0.000000
28.343923,0.028839,-0.009914,-0.076544,-0.250765,0.004306,0.510682,-0.002945,0.000000
28.593991,-0.018124,-0.035433,-0.075595,-0.253540,-0.000263,0.510817,-0.002945,0.000000
28.844203,-0.053289,-0.046701,-0.072020,-0.255425,-0.005475,0.509405,-0.002945,0.000000
29.094712,-0.056401,-0.049966,-0.069654,-0.255942,-0.006299,0.508912,-0.002945,0.000000
29.344748,-0.030890,-0.042233,-0.070416,-0.255716,-0.004301,0.509725,-0.002945,0.000000
29.594832,0.017808,-0.012988,-0.062729,-0.253289,0.000534,0.510911,-0.002945,0.000000
29.845223,0.041452,0.002456,-0.056239,-0.249769,0.005978,0.510139,-0.002945,0.000000
30.095504,0.032317,-0.001049,-0.060601,-0.249799,0.005090,0.510484,-0.002945,0.000000
30.345731,0.028996,-0.001393,-0.039740,-0.250095,0.005494,0.510304,-0.002945,0.000000
30.595920,0.018076,0.006528,0.005617,-0.248458,0.008808,0.508723,-0.002945,0.000000
30.846264,0.002215,0.020424,0.034875,-0.245687,0.007079,0.505610,-0.002945,0.000000
31.096265,-0.002044,0.021915,0.036850,-0.243772,0.005775,0.501875,-0.002945,0.000000
31.346345,0.007491,0.009785,0.015375,-0.237245,0.006401,0.500000,-0.002945,0.000000
31.596527,0.024546,-0.007802,-0.043433,-0.240559,0.010063,0.504070,-0.002945,0.000000
31.847366,0.024858,-0.013694,-0.078434,-0.245043,0.008099,0.508438,-0.002945,0.000000
32.097424,0.023400,-0.014093,-0.080945,-0.249940,0.004019,0.510769,-0.002945,0.000000
32.347560,0.018561,-0.012562,-0.090657,-0.251243,0.002099,0.511049,-0.002945,0.000000
32.597639,0.012510,-0.012548,-0.095736,-0.251185,0.000909,0.511137,-0.002945,0.000000
32.847859,0.012825,-0.012640,-0.095473,-0.251214,0.000964,0.511120,-0.002945,0.000000
33.098157,0.012814,-0.013361,-0.095154,-0.251280,0.001225,0.511092,-0.002945,0.000000
33.348220,0.012506,-0.019558,-0.092226,-0.252016,0.001460,0.510992,-0.002945,0.000000
33.598262,0.010449,-0.028705,-0.088598,-0.252972,0.001415,0.510862,-0.002945,0.000000
33.848298,0.002679,-0.042740,-0.083435,-0.254467,0.000733,0.510588,-0.002945,0.000000
34.098647,0.000781,-0.055950,-0.069204,-0.256362,0.000387,0.509992,-0.002945,0.000000
34.348665,0.002927,-0.057071,-0.054765,-0.257642,0.000640,0.509424,-0.003273,0.000000
34.598976,0.005233,-0.054740,-0.050480,-0.257991,0.000991,0.509253,-0.003273,0.000000
34.849211,0.008124,-0.046740,-0.063465,-0.256636,0.001383,0.509885,-0.002945,0.000000
35.099442,0.009156,-0.040353,-0.072561,-0.255174,0.001420,0.510399,-0.002945,0.000000
35.349958,0.007002,-0.034673,-0.076626,-0.254524,0.001147,0.510604,-0.002945,0.000000
35.599986,0.019441,-0.000561,-0.081890,-0.251223,0.001833,0.511081,-0.002945,0.000000
35.850047,0.057523,0.048009,-0.068390,-0.246161,0.005118,0.509983,-0.002945,0.000000
36.100242,0.067508,0.056799,-0.061008,-0.243248,0.007617,0.507896,-0.002945,0.000000
36.350535,0.054237,0.042457,-0.081450,-0.244684,0.005938,0.509333,-0.002945,0.000000
36.600656,0.028286,0.000623,-0.091343,-0.248710,0.003765,0.510778,-0.002945,0.000000
36.850852,0.014020,-0.006725,-0.096181,-0.250835,0.001496,0.511130,-0.002945,0.000000
37.100870,0.014267,-0.006925,-0.096958,-0.250615,0.001574,0.511109,-0.002945,0.000000
